"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.5546590380150604,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,1.0,0.3604767997693446,0.23529411764705882,0.0,12,0.0,0.0
"(200,10)",2.0,1.0,0.28755105439645806,0.5,0.04347826086956522,30,0.06666666666666667,0.0
"(400,20)",0.5,0.6666666666666666,0.3324277539212879,0.0345821325648415,0.005847953216374269,6,0.16666666666666666,0.0
"(400,20)",1.0,1.0,0.24609791019912872,0.0679886685552408,0.005847953216374269,12,0.08333333333333333,0.0
"(400,20)",2.0,0.875,0.2056607115231503,0.31353919239904987,0.02873563218390805,80,0.07575757575757576,0.2857142857142857
"(1000,50)",0.5,0.4166666666666667,0.20877890547347666,0.05714285714285715,0.007326007326007326,24,0.125,0.0
"(1000,50)",1.0,0.875,0.14971714647156215,0.07075471698113209,0.01941747572815534,32,0.26666666666666666,0.0
"(1000,50)",2.0,0.8926174496644296,0.12777888762459308,0.17953321364452424,0.042704626334519574,298,0.18,0.33333333333333337
