"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.5065797061257062,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,0.8,0.3519559993764655,0.19999999999999998,0.0851063829787234,10,0.4,0.0
"(200,10)",2.0,0.9230769230769231,0.29033313436174485,0.4482758620689655,0.0851063829787234,26,0.15384615384615385,0.0
"(200,10)",0.5,0.0,0.5039451788203804,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.33655963411126166,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",2.0,1.0,0.2831005346906312,0.4482758620689655,0.0,26,0.0,0.0
"(200,10)",0.5,0.0,0.4713230843761431,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.8333333333333334,0.34594703232024476,0.23529411764705882,0.0,12,0.0,0.0
"(200,10)",2.0,1.0,0.2791364203822243,0.4482758620689655,0.0,26,0.0,0.0
"(400,20)",0.5,1.0,0.35887651218915945,0.07865168539325842,0.0,14,0.0,0.0
"(400,20)",1.0,0.6363636363636364,0.2542526103818357,0.12087912087912087,0.045714285714285714,22,0.36363636363636365,0.0
"(400,20)",2.0,0.8780487804878049,0.2083500950861678,0.3490566037735849,0.1,82,0.24324324324324326,0.0
"(400,20)",0.5,1.0,0.32964094551327316,0.011627906976744186,0.0,2,0.0,0.0
"(400,20)",1.0,0.8333333333333334,0.2411830322991513,0.06779661016949151,0.023121387283236997,12,0.3333333333333333,0.0
"(400,20)",2.0,0.9411764705882353,0.21175268422139598,0.2634146341463414,0.056818181818181816,68,0.18518518518518517,0.0
"(400,20)",0.5,1.0,0.3103541321972162,0.023121387283236997,0.0,4,0.0,0.0
"(400,20)",1.0,0.75,0.24107707463097677,0.045714285714285714,0.011627906976744186,8,0.25,0.0
"(400,20)",2.0,0.9361702127659575,0.2066784002591271,0.38532110091743116,0.03428571428571428,94,0.07142857142857142,0.25
"(1000,50)",0.5,0.7,0.2083646236940325,0.05730659025787966,0.017543859649122806,20,0.3,0.0
"(1000,50)",1.0,0.9565217391304348,0.14830821613259995,0.055248618784530384,0.046109510086455335,46,0.8,0.0
"(1000,50)",2.0,0.8830409356725146,0.1296438202993621,0.21568627450980393,0.07142857142857144,342,0.23636363636363636,0.48
"(1000,50)",0.5,0.5,0.1954648519650226,0.04938271604938272,0.012578616352201257,8,0.25,0.0
"(1000,50)",1.0,0.8235294117647058,0.14952486477606275,0.08,0.048780487804878044,34,0.5714285714285714,0.33333333333333337
"(1000,50)",2.0,0.907103825136612,0.12790100299138227,0.15249266862170088,0.1098901098901099,366,0.38461538461538464,0.5833333333333333
"(1000,50)",0.5,0.5,0.1900728879972775,0.018867924528301886,0.0,8,0.0,1.0
"(1000,50)",1.0,0.8095238095238095,0.1512427851316683,0.06567164179104477,0.018808777429467086,42,0.2727272727272727,0.4
"(1000,50)",2.0,0.9240506329113924,0.12745608367243705,0.18644067796610167,0.08259587020648967,316,0.3181818181818182,0.43999999999999995
