"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Selection power,Cond. power,Power post inf,FDP
"(400,20)",0.5,0.25,0.33917285034321365,0.041237113402061855,0.010471204188481674,8,0.021052631578947368,0.25,0.005263157894736842,0.0
"(400,20)",1.0,0.9,0.22154997108841085,0.1,0.031088082901554404,20,0.05263157894736842,0.3,0.015789473684210527,0.0
"(400,20)",2.0,1.0,0.20132255840151486,0.3111111111111111,0.061224489795918366,70,0.18421052631578946,0.17142857142857143,0.031578947368421054,0.0
"(400,20)",3.0,0.9230769230769231,0.1901804782070831,0.6476868327402135,0.1372549019607843,182,0.4789473684210526,0.15384615384615385,0.07368421052631578,0.0
"(400,20)",4.0,0.9473684210526315,0.18498720973631072,0.7499999999999999,0.16425120772946858,228,0.6,0.14912280701754385,0.08947368421052632,0.0
