"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.43551410753487546,0.125,0.0,6,0.0,0.0
"(200,10)",1.0,1.0,0.31353246430716647,0.163265306122449,0.04347826086956522,8,0.25,0.0
"(200,10)",2.0,0.75,0.29916212957620814,0.4210526315789474,0.0851063829787234,24,0.16666666666666666,0.0
"(200,10)",0.5,1.0,0.4364205329386328,0.0,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3228987151298012,0.1212121212121212,0.0,8,0.0,0.0
"(200,10)",2.0,1.0,0.264962299035542,0.35,0.12903225806451613,22,0.2857142857142857,0.0
"(200,10)",0.5,1.0,0.4506970609929498,0.05405405405405406,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3431506968178767,0.05405405405405406,0.0,2,0.0,0.0
"(200,10)",2.0,0.8571428571428571,0.27648053764226205,0.48,0.10526315789473684,28,0.16666666666666666,0.0
"(400,20)",0.5,1.0,0.32983829560995276,0.034482758620689655,0.0,6,0.0,0.0
"(400,20)",1.0,1.0,0.23948540425790613,0.045454545454545456,0.034482758620689655,10,0.75,0.0
"(400,20)",2.0,0.926829268292683,0.20784195686224943,0.36792452830188677,0.07865168539325842,82,0.1794871794871795,0.0
"(400,20)",0.5,1.0,0.3312689002686334,0.023121387283236997,0.0,4,0.0,0.0
"(400,20)",1.0,1.0,0.23072058635094905,0.045714285714285714,0.011627906976744186,8,0.25,0.0
"(400,20)",2.0,0.9777777777777777,0.2082484536779254,0.38888888888888884,0.023121387283236997,90,0.047619047619047616,0.0
"(400,20)",0.5,1.0,0.3170540815132405,0.03821656050955414,0.0,6,0.0,0.0
"(400,20)",1.0,1.0,0.22639562529084745,0.03821656050955414,0.012903225806451613,6,0.3333333333333333,0.0
"(400,20)",2.0,0.8292682926829268,0.20295440281985513,0.3487179487179487,0.0617283950617284,82,0.14705882352941177,0.375
"(1000,50)",0.5,0.6,0.20111715269817174,0.03597122302158274,0.014545454545454545,10,0.4,0.0
"(1000,50)",1.0,0.8181818181818182,0.14736366024500058,0.04225352112676056,0.02173913043478261,22,0.5,0.0
"(1000,50)",2.0,0.9467455621301775,0.12780911116154975,0.18552036199095023,0.05594405594405595,338,0.1951219512195122,0.3846153846153846
"(1000,50)",0.5,0.7777777777777778,0.1862210811376882,0.0625,0.014234875444839857,18,0.2222222222222222,0.0
"(1000,50)",1.0,0.8823529411764706,0.14530289683157377,0.08783783783783784,0.0625,34,0.6923076923076923,0.0
"(1000,50)",2.0,0.9269662921348315,0.1287085991321145,0.2188183807439825,0.12297734627831716,356,0.38,0.3666666666666667
"(1000,50)",0.5,0.6666666666666666,0.19090637936385682,0.027692307692307697,0.0031152647975077885,18,0.1111111111111111,0.0
"(1000,50)",1.0,0.9047619047619048,0.15539667381002076,0.045317220543806644,0.015455950540958269,42,0.3333333333333333,0.16666666666666663
"(1000,50)",2.0,0.9012345679012346,0.12750132409978243,0.211706102117061,0.06259314456035767,324,0.24705882352941178,0.30000000000000004
