"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.49147401240944427,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.8,0.355418185459133,0.19999999999999998,0.0,10,0.0,0.0
"(200,10)",2.0,0.9375,0.2907055898195126,0.5245901639344263,0.04347826086956522,32,0.0625,0.0
"(200,10)",0.5,1.0,0.41775504737522945,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.5,0.31845113351884,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",2.0,1.0,0.28521352885379675,0.4482758620689655,0.0,26,0.0,0.0
"(200,10)",0.5,1.0,0.3609081081718275,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.8,0.3709577451639924,0.19999999999999998,0.0,10,0.0,0.0
"(200,10)",2.0,0.7272727272727273,0.28345682901793423,0.39285714285714285,0.163265306122449,22,0.36363636363636365,0.0
"(400,20)",0.5,1.0,0.25892688466202485,0.014598540145985401,0.0,2,0.0,0.0
"(400,20)",1.0,0.875,0.23591760555501168,0.09722222222222222,0.014598540145985401,16,0.14285714285714285,0.0
"(400,20)",2.0,0.9130434782608695,0.19996241057569136,0.4175824175824176,0.08450704225352113,92,0.15789473684210525,0.0
"(400,20)",0.5,1.0,0.3128422265077342,0.020833333333333332,0.010471204188481674,4,0.5,0.0
"(400,20)",1.0,0.6,0.24324439388837832,0.05128205128205127,0.020833333333333332,10,0.4,0.0
"(400,20)",2.0,0.9,0.20119549401827164,0.4166666666666667,0.05128205128205127,100,0.1,0.0
"(400,20)",0.5,0.6666666666666666,0.3616773218869098,0.06000000000000001,0.0,6,0.0,0.0
"(400,20)",1.0,0.8181818181818182,0.24477646981745396,0.14814814814814814,0.04,22,0.25,0.33333333333333337
"(400,20)",2.0,0.8695652173913043,0.20264565335261778,0.3776223776223776,0.09433962264150943,92,0.18518518518518517,0.4444444444444444
"(1000,50)",0.5,0.6,0.19032943072806982,0.030864197530864196,0.0,20,0.0,0.0
"(1000,50)",1.0,0.9310344827586207,0.15573196427053415,0.050974512743628186,0.021671826625386997,58,0.4117647058823529,0.125
"(1000,50)",2.0,0.926829268292683,0.1282284356654747,0.2194513715710723,0.0572289156626506,328,0.2159090909090909,0.2692307692307693
"(1000,50)",0.5,0.875,0.18332164537759038,0.041025641025641026,0.015584415584415583,16,0.375,0.0
"(1000,50)",1.0,0.875,0.1461138887453222,0.06532663316582915,0.041025641025641026,32,0.6153846153846154,0.0
"(1000,50)",2.0,0.9090909090909091,0.12996294182737908,0.22014925373134325,0.0693069306930693,308,0.23728813559322035,0.36363636363636365
"(1000,50)",0.5,0.75,0.1821308088304195,0.013937282229965157,0.0035026269702276708,8,0.25,0.0
"(1000,50)",1.0,0.9047619047619048,0.153146078305922,0.043993231810490696,0.024263431542461005,42,0.5384615384615384,0.0
"(1000,50)",2.0,0.8918918918918919,0.127902678466424,0.2256267409470752,0.05378151260504203,296,0.19753086419753085,0.36
