"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,0.5,0.3623926993005346,0.1111111111111111,0.0,4,0.0,0.0
"(200,10)",1.0,1.0,0.37910073598913874,0.3,0.05714285714285715,12,0.16666666666666666,0.0
"(200,10)",2.0,1.0,0.2982003877181379,0.4489795918367347,0.05714285714285715,30,0.09090909090909091,0.0
"(200,10)",0.5,1.0,0.4749056824503117,0.125,0.0,6,0.0,0.0
"(200,10)",1.0,0.5,0.32425189637232527,0.0851063829787234,0.0851063829787234,4,1.0,0.0
"(200,10)",2.0,0.8,0.29001037736639007,0.5,0.163265306122449,30,0.26666666666666666,0.0
"(200,10)",0.5,1.0,0.3991100572562416,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.5,0.3302120202188192,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",2.0,0.9090909090909091,0.2865711416466366,0.39285714285714285,0.0851063829787234,22,0.18181818181818182,0.0
"(400,20)",0.5,1.0,0.31385587514590896,0.03821656050955414,0.0,6,0.0,0.0
"(400,20)",1.0,0.6,0.23584510725086508,0.06289308176100628,0.012903225806451613,10,0.2,0.0
"(400,20)",2.0,0.8809523809523809,0.1995986891929646,0.336734693877551,0.09876543209876544,84,0.24242424242424243,0.0
"(400,20)",0.5,1.0,0.36519500901688595,0.023121387283236997,0.0,4,0.0,0.0
"(400,20)",1.0,0.8333333333333334,0.23880210159046877,0.06779661016949151,0.0,12,0.0,0.0
"(400,20)",2.0,0.9696969696969697,0.1981886242843163,0.28431372549019607,0.045714285714285714,66,0.13793103448275862,0.0
"(400,20)",0.5,1.0,0.3335090418627641,0.011695906432748537,0.0,2,0.0,0.0
"(400,20)",1.0,1.0,0.21816415657120816,0.034482758620689655,0.011695906432748537,8,0.3333333333333333,0.0
"(400,20)",2.0,0.918918918918919,0.1974361786524968,0.34782608695652173,0.0898876404494382,74,0.2222222222222222,0.0
"(1000,50)",0.5,0.8888888888888888,0.19928127193134318,0.03333333333333333,0.011235955056179775,18,0.3333333333333333,0.0
"(1000,50)",1.0,0.7894736842105263,0.14687888853705292,0.05090909090909091,0.029574861367837334,38,0.5714285714285714,0.19999999999999996
"(1000,50)",2.0,0.9044943820224719,0.12949844546633105,0.2172073342736248,0.07829181494661923,356,0.2857142857142857,0.29032258064516125
"(1000,50)",0.5,0.6923076923076923,0.19795246086406723,0.04701627486437613,0.007380073800738007,26,0.15384615384615385,0.0
"(1000,50)",1.0,0.9545454545454546,0.15075084955854115,0.06761565836298933,0.05054151624548736,44,0.7368421052631579,0.0
"(1000,50)",2.0,0.9190751445086706,0.12858117858263837,0.23842917251051896,0.08013937282229965,346,0.27058823529411763,0.32352941176470584
"(1000,50)",0.5,0.7777777777777778,0.19413610471623446,0.07894736842105263,0.027027027027027025,18,0.3333333333333333,0.0
"(1000,50)",1.0,0.9523809523809523,0.15906568283449085,0.1,0.07048458149779735,42,0.6666666666666666,0.0
"(1000,50)",2.0,0.8835616438356164,0.12863827705034847,0.18082191780821918,0.11382113821138211,292,0.42424242424242425,0.4814814814814815
