"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,0.0,0.43341498782405874,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.35850832459128934,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",2.0,0.875,0.30068038797641594,0.5245901639344263,0.0851063829787234,32,0.125,0.0
"(400,20)",0.5,1.0,0.3484234288526256,0.025641025641025647,0.006472491909385114,4,0.25,0.0
"(400,20)",1.0,0.8,0.2306316141496425,0.06289308176100628,0.006472491909385114,10,0.1,0.0
"(400,20)",2.0,0.9302325581395349,0.2021088558437549,0.3959390862944162,0.03821656050955414,86,0.07692307692307693,0.0
"(1000,50)",0.5,0.6363636363636364,0.18753518536232716,0.125,0.006688963210702341,22,0.05,0.0
"(1000,50)",1.0,0.9473684210526315,0.1501963427113099,0.13095238095238096,0.05228758169934641,38,0.36363636363636365,0.0
"(1000,50)",2.0,0.8735632183908046,0.12821937496131672,0.13003095975232198,0.06097560975609756,348,0.23809523809523808,0.6666666666666667
