"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Selection power,Cond. power,Power post inf,FDP
"(400,20)",0.5,0.0,0.28454392520727206,0.034482758620689655,0.023121387283236997,6,0.017543859649122806,0.6666666666666666,0.011695906432748537,0.0
"(400,20)",1.0,1.0,0.22867625650016393,0.08888888888888889,0.023121387283236997,18,0.04678362573099415,0.25,0.011695906432748537,0.0
"(400,20)",2.0,0.92,0.19155382604055723,0.23469387755102042,0.03428571428571428,50,0.13450292397660818,0.13043478260869565,0.017543859649122806,0.25
"(400,20)",3.0,0.8958333333333334,0.18131989146865515,0.6666666666666667,0.12021857923497269,192,0.52046783625731,0.12359550561797752,0.06432748538011696,0.08333333333333337
"(400,20)",4.0,0.8974358974358975,0.17607107628656418,0.7430555555555556,0.15053763440860216,234,0.6257309941520468,0.1308411214953271,0.08187134502923976,0.06666666666666665
