"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.4260858517726431,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3324130731909844,0.125,0.04347826086956522,6,0.3333333333333333,0.0
"(200,10)",2.0,0.8,0.2946340148305094,0.5,0.163265306122449,30,0.26666666666666666,0.0
"(200,10)",0.5,1.0,0.47530763907828866,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.6666666666666666,0.3029345071453186,0.125,0.04347826086956522,6,0.3333333333333333,0.0
"(200,10)",2.0,0.9230769230769231,0.27570233441609115,0.4482758620689655,0.125,26,0.23076923076923078,0.0
"(200,10)",0.5,1.0,0.49435713940079706,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.31532391234026386,0.125,0.0,6,0.0,0.0
"(200,10)",2.0,0.7857142857142857,0.2657172024598361,0.4745762711864407,0.163265306122449,28,0.2857142857142857,0.0
"(400,20)",0.5,1.0,0.2793183365999748,0.023121387283236997,0.011627906976744186,4,0.5,0.0
"(400,20)",1.0,0.875,0.233063138579634,0.0670391061452514,0.011627906976744186,16,0.16666666666666666,0.0
"(400,20)",2.0,0.9574468085106383,0.20076041494304775,0.3944954128440367,0.07865168539325842,94,0.16279069767441862,0.0
"(400,20)",0.5,1.0,0.35053662312553163,0.011627906976744186,0.0,2,0.0,0.0
"(400,20)",1.0,1.0,0.22162260609422657,0.045714285714285714,0.0,8,0.0,0.0
"(400,20)",2.0,0.9090909090909091,0.20298617402806576,0.2941176470588235,0.045714285714285714,66,0.13333333333333333,0.0
"(400,20)",0.5,1.0,0.42297224525842536,0.020833333333333332,0.0,4,0.0,0.0
"(400,20)",1.0,0.75,0.24675312382794581,0.041237113402061855,0.010471204188481674,8,0.25,0.0
"(400,20)",2.0,0.9230769230769231,0.20212965613139705,0.3406113537117904,0.05128205128205127,78,0.1282051282051282,0.0
"(1000,50)",0.5,0.7857142857142857,0.20009226156425639,0.0319634703196347,0.006936416184971097,28,0.21428571428571427,0.0
"(1000,50)",1.0,0.9230769230769231,0.15039723765249546,0.0518018018018018,0.02971428571428571,52,0.5652173913043478,0.0
"(1000,50)",2.0,0.92,0.1282942406129554,0.2545805207328833,0.04954954954954955,350,0.16666666666666666,0.15384615384615385
"(1000,50)",0.5,0.5,0.20600720416197738,0.03442340791738382,0.006980802792321117,20,0.2,0.0
"(1000,50)",1.0,0.85,0.1493363150852786,0.05076142131979696,0.027633851468048358,40,0.5333333333333333,0.0
"(1000,50)",2.0,0.9101796407185628,0.12880560693104798,0.2059620596205962,0.07011686143572621,334,0.27631578947368424,0.25
"(1000,50)",0.5,0.5555555555555556,0.19478015948899458,0.028125,0.012598425196850394,18,0.4444444444444444,0.0
"(1000,50)",1.0,0.9130434782608695,0.1492553900844609,0.06422018348623852,0.034267912772585674,46,0.5238095238095238,0.0
"(1000,50)",2.0,0.903954802259887,0.12873735081756493,0.21782178217821782,0.05479452054794521,354,0.20454545454545456,0.3076923076923077
