"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.0,0.405633621052148,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.23635805050554437,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.2923609337432868,Approx,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.4552368892647937,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2537862622467075,Naive,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",1.0,0.3138492764087105,Approx,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",1.0,0.34891012679907873,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.25351774393577403,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3301389073003117,Approx,0.0851063829787234,0.02197802197802198,4,0.25,0.0
"(200,10)",1.0,0.3905844307663361,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.27700219112891916,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3545233674581278,Approx,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.39671404259585896,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",1.0,0.24377387069891787,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.32062407478091115,Approx,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.3560517874371131,Data Splitting,0.05405405405405406,0.0273972602739726,2,0.5,0.0
"(200,10)",0.0,0.263652051004243,Naive,0.10526315789473684,0.05405405405405406,4,0.5,0.0
"(200,10)",1.0,0.3674858416327161,Approx,0.05405405405405406,0.0273972602739726,2,0.5,0.0
"(200,10)",1.0,0.35057852233614767,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.25043866374454965,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.30365444886336,Approx,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.35679115747692636,Data Splitting,0.04395604395604395,0.0,2,0.5,0.0
"(200,10)",0.0,0.27722431759331867,Naive,0.04395604395604395,0.02222222222222222,2,0.0,0.0
"(200,10)",1.0,0.3559209602519341,Approx,0.08602150537634408,0.02222222222222222,4,0.25,0.0
"(200,10)",1.0,0.3166784410617424,Data Splitting,0.04395604395604395,0.0,2,0.5,0.0
"(200,10)",0.0,0.2285642319552599,Naive,0.04395604395604395,0.02222222222222222,2,0.0,0.0
"(200,10)",1.0,0.36828879217899463,Approx,0.04395604395604395,0.0,2,0.0,0.0
"(200,10)",1.0,0.3122227415499096,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",1.0,0.23753749293504672,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.3219092047218879,Approx,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.4023996436347124,Data Splitting,0.046511627906976744,0.023529411764705882,2,0.5,0.0
"(200,10)",1.0,0.2416329455372043,Naive,0.13333333333333333,0.0689655172413793,6,0.5,0.0
"(200,10)",1.0,0.3208826619891547,Approx,0.046511627906976744,0.023529411764705882,2,0.5,0.0
"(200,10)",1.0,0.461219269675199,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2894940049214195,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.33669388296761193,Approx,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.3204264826270395,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.22133653091884264,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.2805535575097773,Approx,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.40058041834358027,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.5,0.2567066689569286,Naive,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",1.0,0.325769686733055,Approx,0.0851063829787234,0.02197802197802198,4,0.25,0.0
"(200,10)",1.0,0.3701481738409313,Data Splitting,0.044444444444444446,0.02247191011235955,2,0.5,0.0
"(200,10)",0.0,0.2465399239644249,Naive,0.044444444444444446,0.02247191011235955,2,0.5,0.0
"(200,10)",1.0,0.31473552743773453,Approx,0.044444444444444446,0.0,2,0.0,0.0
"(200,10)",1.0,0.352954146319331,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.5,0.2443779502750844,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",1.0,0.33022480666693577,Approx,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.3412030990200129,Data Splitting,0.05405405405405406,0.0,2,0.5,0.0
"(200,10)",1.0,0.22617834874194218,Naive,0.05405405405405406,0.0273972602739726,2,0.0,0.0
"(200,10)",1.0,0.30979784726688675,Approx,0.05405405405405406,0.0,2,0.0,0.0
"(200,10)",1.0,0.312319654941572,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.23406947324654537,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.3253983154793175,Approx,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.32354649397689694,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.26047825716692885,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3146889244400076,Approx,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3945067008216398,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2871728862501819,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3677484980619217,Approx,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.3732184764306517,Data Splitting,0.05633802816901409,0.0,2,0.5,0.0
"(200,10)",0.0,0.25423448367986,Naive,0.05633802816901409,0.02857142857142857,2,0.0,0.0
"(200,10)",1.0,0.3499601632302794,Approx,0.05633802816901409,0.0,2,0.0,0.0
