"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.5019595101990814,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,1.0,0.38422730620721113,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",2.0,0.9285714285714286,0.29422847543879904,0.4745762711864407,0.04347826086956522,28,0.07142857142857142,0.0
"(400,20)",0.5,1.0,0.3203301470815043,0.023121387283236997,0.0,4,0.0,0.0
"(400,20)",1.0,0.7777777777777778,0.24875926618645705,0.07777777777777778,0.011594202898550723,18,0.14285714285714285,0.33333333333333337
"(400,20)",2.0,0.8787878787878788,0.20254986940680622,0.28431372549019607,0.034482758620689655,66,0.10344827586206896,0.0
"(1000,50)",0.5,0.5833333333333334,0.19935297571165692,0.060377358490566045,0.005174644243208279,24,0.08333333333333333,0.0
"(1000,50)",1.0,0.9473684210526315,0.15196138142748933,0.06922126081582201,0.023076923076923078,38,0.32142857142857145,0.0
"(1000,50)",2.0,0.9,0.12805106866607535,0.20522052205220523,0.04015056461731493,340,0.14035087719298245,0.3846153846153846
