"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.44062644760124065,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3131007751383556,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",2.0,0.9230769230769231,0.26929463700368966,0.4482758620689655,0.04347826086956522,26,0.07692307692307693,0.0
"(200,10)",0.5,1.0,0.5338899478756481,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3246177829155815,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",2.0,0.9230769230769231,0.29915243041767137,0.4482758620689655,0.0851063829787234,26,0.15384615384615385,0.0
"(200,10)",0.5,0.0,0.5502580603994486,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3095272130230584,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",2.0,0.75,0.2767600196525616,0.3018867924528302,0.163265306122449,16,0.5,0.0
"(400,20)",0.5,1.0,0.3328241554935446,0.07865168539325842,0.0,14,0.0,0.0
"(400,20)",1.0,0.9166666666666666,0.25210875891347245,0.13114754098360656,0.06779661016949151,24,0.5,0.0
"(400,20)",2.0,0.84375,0.2039137881929255,0.3054187192118226,0.07865168539325842,64,0.22580645161290322,0.0
"(400,20)",0.5,0.6,0.3111717960246954,0.05128205128205127,0.010471204188481674,10,0.2,0.0
"(400,20)",1.0,0.8571428571428571,0.24060783250434906,0.07106598984771574,0.0,14,0.0,0.0
"(400,20)",2.0,0.9361702127659575,0.20463781519833596,0.3966244725738396,0.08080808080808081,94,0.1702127659574468,0.0
"(400,20)",0.5,0.0,0.422340656079729,0.028985507246376812,0.0,4,0.0,0.0
"(400,20)",1.0,1.0,0.22973697016019928,0.055944055944055944,0.0,14,0.0,0.0
"(400,20)",2.0,0.84375,0.20113952911943675,0.25,0.05555555555555555,64,0.19047619047619047,0.5
"(1000,50)",0.5,0.6428571428571429,0.20024193940751575,0.07052896725440806,0.020671834625323,28,0.2857142857142857,0.0
"(1000,50)",1.0,0.9473684210526315,0.14977130513150366,0.06965174129353235,0.040920716112531966,38,0.5714285714285714,0.0
"(1000,50)",2.0,0.8449197860962567,0.12996926684645507,0.24912280701754388,0.13114754098360656,374,0.39436619718309857,0.36363636363636365
"(1000,50)",0.5,0.6666666666666666,0.19364379854645852,0.03498542274052478,0.002962962962962963,24,0.08333333333333333,0.0
"(1000,50)",1.0,0.9565217391304348,0.14722603900711653,0.06025824964131994,0.032116788321167884,46,0.5238095238095238,0.0
"(1000,50)",2.0,0.9487179487179487,0.1284678060270939,0.24819277108433735,0.051798561151079135,312,0.17475728155339806,0.1428571428571429
"(1000,50)",0.5,0.7,0.2093186414123748,0.029542097488921712,0.008955223880597015,20,0.3,0.0
"(1000,50)",1.0,0.9090909090909091,0.15379574645455188,0.05805515239477504,0.0237037037037037,44,0.4,0.0
"(1000,50)",2.0,0.8588957055214724,0.12910410500513073,0.22168674698795185,0.060344827586206885,326,0.22826086956521738,0.27586206896551724
