p,coverage rate,avg length,method,F1 score,E size
20,0.3333333333333333,0.26403710224831345,Naive,0.14814814814814814,6
20,0.8571428571428571,0.35300610988005826,Approx,0.3225806451612903,14
20,0.0,0.3460648536198811,Data Splitting,0.08333333333333333,2
20,0.8,0.26418073593557156,Naive,0.3571428571428571,10
20,1.0,0.3426878573450741,Approx,0.5555555555555555,26
50,1.0,0.592897801557236,Data Splitting,0.05555555555555556,2
50,0.6666666666666666,0.29867187411190294,Naive,0.15789473684210528,6
50,0.9375,0.36980958857025653,Approx,0.3529411764705882,32
50,1.0,0.4258550183284835,Data Splitting,0.047619047619047616,2
50,1.0,0.28242799552693354,Naive,0.047619047619047616,2
50,0.9523809523809523,0.35303731527923055,Approx,0.22580645161290325,42
50,1.0,0.5103836030778449,Data Splitting,0.1276595744680851,6
50,1.0,0.2781543048749752,Naive,0.1276595744680851,6
50,0.9523809523809523,0.3679141840636612,Approx,0.1846153846153846,42
50,0.0,0.4889354343161025,Data Splitting,0.047619047619047616,2
50,1.0,0.2474766001875705,Naive,0.047619047619047616,2
50,0.8181818181818182,0.35430047113581825,Approx,0.11538461538461536,22
50,1.0,0.3985523300615498,Data Splitting,0.0,2
50,0.5,0.2603260288589182,Naive,0.0851063829787234,4
50,0.875,0.3460252684110168,Approx,0.09836065573770493,32
50,1.0,0.48417133217955716,Data Splitting,0.05,2
50,0.0,0.2906810160560024,Naive,0.0,2
50,1.0,0.3632078564780296,Approx,0.2222222222222222,30
50,1.0,0.4091195154831278,Data Splitting,0.05128205128205127,2
50,1.0,0.24750826580322857,Naive,0.05128205128205127,2
50,0.8,0.35014993053763893,Approx,0.26415094339622636,30
50,0.6666666666666666,0.46214198605622964,Data Splitting,0.13043478260869565,6
50,0.42857142857142855,0.2956321183893436,Naive,0.28,14
50,0.9565217391304348,0.37619631126490616,Approx,0.39393939393939387,46
50,1.0,0.4063122968373354,Data Splitting,0.05,4
50,0.625,0.2826862250963097,Naive,0.34782608695652173,16
50,1.0,0.357710418088039,Approx,0.26415094339622636,30
50,1.0,0.5397155402644112,Data Splitting,0.04444444444444444,4
50,0.6666666666666666,0.25998961673647825,Naive,0.08695652173913045,6
50,1.0,0.34350444960387183,Approx,0.19672131147540986,36
