"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,0.5,0.4313973609969117,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,1.0,0.34215729316406246,0.125,0.0,6,0.0,0.0
"(200,10)",2.0,0.9230769230769231,0.287777222716595,0.4482758620689655,0.125,26,0.23076923076923078,0.0
"(200,10)",0.5,1.0,0.4790088293474164,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,1.0,0.32858662882987155,0.19999999999999998,0.04347826086956522,10,0.2,0.0
"(200,10)",2.0,0.8823529411764706,0.28860143151265727,0.5483870967741935,0.0851063829787234,34,0.11764705882352941,0.0
"(200,10)",0.5,1.0,0.45373863570982864,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,1.0,0.30334210972185294,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",2.0,1.0,0.29195278221083204,0.4210526315789474,0.125,24,0.25,0.0
"(400,20)",0.5,0.5,0.3694591662419401,0.028368794326241138,0.0,4,0.0,0.0
"(400,20)",1.0,1.0,0.23398448587167334,0.06896551724137931,0.014285714285714287,12,0.2,0.0
"(400,20)",2.0,0.9487179487179487,0.20621770368694065,0.33707865168539325,0.05555555555555556,78,0.13333333333333333,0.19999999999999996
"(400,20)",0.5,0.8333333333333334,0.34744278225818426,0.061224489795918366,0.010471204188481674,12,0.16666666666666666,0.0
"(400,20)",1.0,0.875,0.24242230301492476,0.08080808080808081,0.041237113402061855,16,0.5,0.0
"(400,20)",2.0,0.8936170212765957,0.2012865291828253,0.3966244725738396,0.09045226130653267,94,0.19148936170212766,0.0
"(400,20)",0.5,0.5,0.3609917030021804,0.020833333333333332,0.010471204188481674,4,0.5,0.0
"(400,20)",1.0,1.0,0.2514720177559489,0.061224489795918366,0.010471204188481674,12,0.16666666666666666,0.0
"(400,20)",2.0,0.8837209302325582,0.20646772733882296,0.36909871244635195,0.061224489795918366,86,0.13953488372093023,0.0
"(1000,50)",0.5,0.6666666666666666,0.19376629463543632,0.035225048923679066,0.007936507936507936,18,0.2222222222222222,0.0
"(1000,50)",1.0,0.8421052631578947,0.14569281755053912,0.053742802303262956,0.0275049115913556,38,0.5,0.0
"(1000,50)",2.0,0.9386503067484663,0.1296036474868346,0.21954887218045113,0.046242774566473986,326,0.1643835616438356,0.2941176470588235
"(1000,50)",0.5,0.5,0.201455959435193,0.006688963210702341,0.0,4,0.0,0.0
"(1000,50)",1.0,0.9090909090909091,0.15506387553212778,0.032948929159802305,0.010016694490818028,22,0.3,0.0
"(1000,50)",2.0,0.9152542372881356,0.12836286483025341,0.25614489003880986,0.04552845528455285,354,0.1414141414141414,0.26315789473684215
"(1000,50)",0.5,0.7777777777777778,0.1927882740362393,0.03249097472924188,0.014571948998178506,18,0.4444444444444444,0.0
"(1000,50)",1.0,0.9444444444444444,0.15040658180538968,0.05328596802841919,0.03249097472924188,36,0.6,0.0
"(1000,50)",2.0,0.868421052631579,0.12753340968015967,0.21233859397417507,0.07317073170731707,304,0.28378378378378377,0.27586206896551724
