"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,0.0,0.4516503867987107,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3285889485743255,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",2.0,0.8333333333333334,0.2809800473891536,0.4210526315789474,0.04347826086956522,24,0.08333333333333333,0.0
"(400,20)",0.5,0.6666666666666666,0.31891712918956494,0.031088082901554404,0.0,6,0.0,0.0
"(400,20)",1.0,1.0,0.23114849186433903,0.07106598984771574,0.0,14,0.0,0.0
"(400,20)",2.0,0.9302325581395349,0.19714521239882202,0.36909871244635195,0.04627249357326479,86,0.10465116279069768,0.0
"(1000,50)",0.5,0.7,0.20936595563529395,0.020964360587002094,0.0031729243786356425,20,0.15,0.0
"(1000,50)",1.0,0.8,0.15516444516630828,0.047471620227038186,0.013669821240799159,50,0.2826086956521739,0.0714285714285714
"(1000,50)",2.0,0.9130434782608695,0.12897385556399926,0.22895927601809954,0.02195504443282802,322,0.08300395256916997,0.16000000000000003
