p,coverage rate,avg length,method,F1 score,E size
10,1.0,0.3075790843190724,Data Splitting,0.21052631578947367,4
10,1.0,0.2332461577018262,Naive,0.45454545454545453,10
10,0.9,0.33520821930272,Approx,0.5185185185185185,20
10,1.0,0.33724195485657377,Data Splitting,0.1111111111111111,2
10,0.5,0.2675136709966467,Naive,0.21052631578947367,4
10,0.5,0.3109328087317809,Approx,0.5217391304347826,12
10,0.0,0.4916954702353643,Data Splitting,0.13333333333333333,2
10,1.0,0.24854733086217165,Naive,0.4444444444444445,8
10,1.0,0.34902559689725965,Approx,0.38095238095238093,14
10,1.0,0.3613271653232194,Data Splitting,0.125,2
10,0.3333333333333333,0.245800625835923,Naive,0.33333333333333337,6
10,0.875,0.3578285607219934,Approx,0.3478260869565218,16
10,1.0,0.29875929347796004,Data Splitting,0.16666666666666669,2
10,1.0,0.2559576055319911,Naive,0.3076923076923077,4
10,1.0,0.3510778613504425,Approx,0.5000000000000001,10
10,1.0,0.40509105715761334,Data Splitting,0.15384615384615385,2
10,0.0,0.25806721400003746,Naive,0.15384615384615385,2
10,1.0,0.2991560118265165,Approx,0.23529411764705882,10
10,1.0,0.3666425663749591,Data Splitting,0.14285714285714288,2
10,0.5,0.2580515297851333,Naive,0.2666666666666667,4
10,0.75,0.3681376323981767,Approx,0.380952380952381,16
10,1.0,0.35056836053067364,Data Splitting,0.25,4
10,0.8333333333333334,0.24998959803390686,Naive,0.6,12
10,1.0,0.3534870197229121,Approx,0.5,12
10,1.0,0.40213337579736785,Data Splitting,0.11764705882352941,2
10,0.0,0.28264137514226273,Naive,0.11764705882352941,2
10,1.0,0.3131330052680079,Approx,0.10526315789473684,6
10,1.0,0.3287064470371769,Data Splitting,0.2666666666666667,4
10,1.0,0.2576257392981844,Naive,0.375,6
10,0.75,0.34425273579952326,Approx,0.47058823529411764,8
20,1.0,0.38831675544943167,Data Splitting,0.18181818181818182,4
20,0.5,0.26431878304266054,Naive,0.18181818181818182,4
20,1.0,0.3547877066826606,Approx,0.3870967741935483,22
20,1.0,0.39734834643528705,Data Splitting,0.07999999999999999,2
20,0.6666666666666666,0.24395697689520177,Naive,0.2222222222222222,6
20,0.9090909090909091,0.317040933454646,Approx,0.2285714285714286,22
20,1.0,0.41224181664513804,Data Splitting,0.13333333333333333,6
20,0.6,0.25640984685083407,Naive,0.3125,10
20,0.8,0.3652894288328322,Approx,0.47619047619047616,30
20,1.0,0.40712612592173314,Data Splitting,0.1,2
20,1.0,0.2784141858387784,Naive,0.1904761904761905,4
20,1.0,0.34121766134316517,Approx,0.21428571428571427,18
20,1.0,0.38215047132514984,Data Splitting,0.08333333333333333,2
20,0.6,0.26377731971156165,Naive,0.3571428571428571,10
20,0.9,0.3776963512538927,Approx,0.42424242424242425,20
20,1.0,0.388350724656931,Data Splitting,0.17391304347826084,4
20,0.6666666666666666,0.2658471208608421,Naive,0.25,6
20,0.9,0.3447934639047497,Approx,0.3870967741935483,20
20,0.6666666666666666,0.400892010414344,Data Splitting,0.20689655172413793,6
20,0.75,0.2605192598668131,Naive,0.2666666666666667,8
20,0.7857142857142857,0.3255833166586926,Approx,0.4,28
20,0.5,0.37590023733406297,Data Splitting,0.15384615384615385,4
