"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(400,20)",1.0,0.2560564741670056,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.6666666666666666,0.1731336130769796,Naive,0.031088082901554404,0.031088082901554404,6,0.0,0.0
"(400,20)",0.8571428571428571,0.2416452927537535,Approx,0.07106598984771574,0.020833333333333332,14,0.2857142857142857,0.0
"(400,20)",1.0,0.26734357177647067,Data Splitting,0.012987012987012988,0.012987012987012988,2,1.0,0.0
"(400,20)",0.3333333333333333,0.1786874474204636,Naive,0.038461538461538464,0.038461538461538464,6,1.0,0.0
"(400,20)",1.0,0.25443432632226703,Approx,0.06329113924050632,0.038461538461538464,10,0.6,0.0
"(400,20)",1.0,0.26936442663419097,Data Splitting,0.012903225806451613,0.0,2,1.0,0.0
"(400,20)",0.5,0.18513966494152034,Naive,0.025641025641025647,0.025641025641025647,4,0.0,0.0
"(400,20)",0.75,0.2384963184142776,Approx,0.05063291139240507,0.025641025641025647,8,0.5,0.0
"(400,20)",1.0,0.2377641170412439,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.6666666666666666,0.18403372615052163,Naive,0.031088082901554404,0.031088082901554404,6,0.0,0.0
"(400,20)",1.0,0.22913472525014095,Approx,0.1,0.010471204188481674,20,0.1,0.0
"(400,20)",1.0,0.25932795498097366,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",1.0,0.18181043507589717,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",1.0,0.2217954948846863,Approx,0.05128205128205127,0.010471204188481674,10,0.2,0.0
"(400,20)",1.0,0.24188949915657465,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.0,0.17748573489191932,Naive,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.8571428571428571,0.24864425127070827,Approx,0.07865168539325842,0.011627906976744186,14,0.14285714285714285,0.0
"(400,20)",1.0,0.28211449383244863,Data Splitting,0.012903225806451613,0.0,2,1.0,0.0
"(400,20)",0.5,0.1919323332702805,Naive,0.025641025641025647,0.025641025641025647,4,0.0,0.0
"(400,20)",0.875,0.23620175478516947,Approx,0.08641975308641976,0.025641025641025647,16,0.2857142857142857,0.0
"(400,20)",1.0,0.269935252167416,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.0,0.18611472529891165,Naive,0.020833333333333332,0.020833333333333332,4,0.0,0.0
"(400,20)",1.0,0.23680121152065192,Approx,0.061224489795918366,0.020833333333333332,12,0.3333333333333333,0.0
"(400,20)",0.0,0.27530147290072826,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.0,0.18568552640738872,Naive,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.75,0.24755829724921752,Approx,0.08938547486033518,0.011627906976744186,16,0.125,0.0
"(400,20)",1.0,0.2506546560329371,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.0,0.18071678841095554,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",0.75,0.2176368302579921,Approx,0.041237113402061855,0.031088082901554404,8,0.75,0.0
"(400,20)",0.5,0.25634275167450893,Data Splitting,0.020833333333333332,0.020833333333333332,4,1.0,0.0
"(400,20)",0.3333333333333333,0.18111469595047877,Naive,0.031088082901554404,0.031088082901554404,6,1.0,0.0
"(400,20)",1.0,0.22120688266906066,Approx,0.07106598984771574,0.031088082901554404,14,0.42857142857142855,0.0
"(400,20)",1.0,0.2761583800973367,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.0,0.18265126264735246,Naive,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.8888888888888888,0.24282429652105592,Approx,0.1,0.011627906976744186,18,0.1111111111111111,0.0
"(400,20)",1.0,0.2712768140608735,Data Splitting,0.012987012987012988,0.012987012987012988,2,1.0,0.0
"(400,20)",0.5,0.19458206803535139,Naive,0.05095541401273886,0.05095541401273886,8,1.0,0.0
"(400,20)",1.0,0.25152441463698066,Approx,0.07547169811320754,0.012987012987012988,12,0.16666666666666666,0.0
"(400,20)",1.0,0.28346964428389715,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",1.0,0.1657821102953241,Naive,0.011627906976744186,0.011627906976744186,2,0.0,0.0
"(400,20)",1.0,0.22968338062206492,Approx,0.045454545454545456,0.011627906976744186,10,0.25,0.0
"(400,20)",1.0,0.2532260408266752,Data Splitting,0.020833333333333332,0.010471204188481674,4,1.0,0.0
"(400,20)",0.5,0.1857529103466959,Naive,0.020833333333333332,0.020833333333333332,4,0.5,0.0
"(400,20)",1.0,0.22888798293066226,Approx,0.041237113402061855,0.020833333333333332,8,0.5,0.0
"(400,20)",1.0,0.2571316093025686,Data Splitting,0.023121387283236997,0.011627906976744186,4,1.0,0.0
"(400,20)",0.0,0.18570764468000378,Naive,0.011627906976744186,0.011627906976744186,2,0.5,0.0
"(400,20)",1.0,0.23187390845080655,Approx,0.0670391061452514,0.011627906976744186,16,0.16666666666666666,0.0
"(400,20)",1.0,0.2628424881611238,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.6666666666666666,0.18181441901837145,Naive,0.034482758620689655,0.034482758620689655,6,1.0,0.0
"(400,20)",0.75,0.23056625342698972,Approx,0.08938547486033518,0.023121387283236997,16,0.25,0.0
"(400,20)",1.0,0.246030828624164,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",1.0,0.1681498128602049,Naive,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.8888888888888888,0.25874930567485943,Approx,0.08888888888888889,0.011627906976744186,18,0.125,0.0
"(400,20)",1.0,0.30987907105704027,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.5,0.18647379538975967,Naive,0.023121387283236997,0.023121387283236997,4,1.0,0.0
"(400,20)",1.0,0.23729918670354908,Approx,0.06779661016949151,0.034482758620689655,12,0.5,0.0
