"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Selection power,Cond. power,Power post inf,FDP
"(400,20)",0.5,0.0,0.3399832070754541,0.023121387283236997,0.023121387283236997,4,0.011695906432748537,1.0,0.011695906432748537,0.0
"(400,20)",1.0,1.0,0.2546287846473338,0.06779661016949151,0.011627906976744186,12,0.03508771929824561,0.16666666666666666,0.005847953216374269,0.0
"(400,20)",2.0,0.9183673469387755,0.20346598446450745,0.38181818181818183,0.08938547486033518,98,0.24561403508771928,0.19047619047619047,0.04678362573099415,0.0
"(400,20)",3.0,0.8829787234042553,0.19088981536763738,0.6716981132075472,0.1702127659574468,188,0.52046783625731,0.1797752808988764,0.0935672514619883,0.05882352941176472
"(400,20)",4.0,0.8833333333333333,0.18484202001032737,0.7422680412371133,0.1693121693121693,240,0.631578947368421,0.14814814814814814,0.0935672514619883,0.11111111111111116
