"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.4370305687213254,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,0.5,0.371683589183738,0.163265306122449,0.02197802197802198,8,0.125,0.0
"(200,10)",2.0,0.6666666666666666,0.30122672252375066,0.4210526315789474,0.10526315789473684,24,0.20833333333333334,0.0
"(400,20)",0.5,1.0,0.3736822403723505,0.020833333333333332,0.005249343832020998,4,0.25,0.0
"(400,20)",1.0,0.75,0.2417908706695109,0.08080808080808081,0.01566579634464752,16,0.1875,0.0
"(400,20)",2.0,0.9534883720930233,0.20588739688534996,0.36909871244635195,0.031088082901554404,86,0.06976744186046512,0.0
"(1000,50)",0.5,0.75,0.2013249025166336,0.05893186003683242,0.0,16,0.0,0.0
"(1000,50)",1.0,0.875,0.15291557635873823,0.057245080500894455,0.018761726078799248,32,0.3125,0.16666666666666663
"(1000,50)",2.0,0.8993288590604027,0.12900416810181753,0.19393939393939394,0.02559414990859232,298,0.0875,0.65
