"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size
"(200,10)",1.0,0.3613731433469258,Data Splitting,0.0449438202247191,0.022727272727272724,2
"(200,10)",0.0,0.26189011284258423,Naive,0.0449438202247191,0.022727272727272724,2
"(200,10)",1.0,0.30529546403019403,Approx,0.08791208791208792,0.022727272727272724,4
"(200,10)",1.0,0.39882243300169185,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.26998658947806936,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3104390297398818,Approx,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.2720785892003182,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",1.0,0.20016672903347066,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3411656333514964,Approx,0.163265306122449,0.02197802197802198,8
"(200,10)",1.0,0.35279184903724975,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2621493473511536,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.309961670658656,Approx,0.0851063829787234,0.0,4
"(200,10)",1.0,0.32408103304717206,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.25420773528631935,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3427889642843784,Approx,0.125,0.0,6
"(200,10)",1.0,0.35512414218015126,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",1.0,0.23927001703078593,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3159440253392493,Approx,0.163265306122449,0.0,8
"(200,10)",1.0,0.40900114606080956,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.28328986243956733,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3837384504008278,Approx,0.163265306122449,0.02197802197802198,8
"(200,10)",1.0,0.39329517682683646,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.26267033639094545,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3620533750127251,Approx,0.23529411764705882,0.0,12
"(200,10)",0.5,0.3628047509374094,Data Splitting,0.08888888888888888,0.022988505747126436,4
"(200,10)",0.0,0.24438712453542263,Naive,0.08888888888888888,0.04545454545454545,4
"(200,10)",1.0,0.3204290644573226,Approx,0.04545454545454545,0.0,2
"(200,10)",0.0,0.44459315166331737,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.27331281032368426,Naive,0.0851063829787234,0.04347826086956522,4
"(200,10)",1.0,0.33752349241999013,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.32404144437191706,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.22317067967100693,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.5,0.31769900702352116,Approx,0.0851063829787234,0.0,4
"(200,10)",1.0,0.3776928938373786,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2655132473266576,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6666666666666666,0.3112440249221234,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.3454915248989212,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",1.0,0.26357075484027226,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.33611037779195657,Approx,0.163265306122449,0.0,8
"(200,10)",1.0,0.2937750859682187,Data Splitting,0.05405405405405406,0.0273972602739726,2
"(200,10)",0.0,0.2223259591135097,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.33190343810846235,Approx,0.19999999999999998,0.0273972602739726,8
"(200,10)",1.0,0.39059174548034103,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.26922379162540067,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3474172514930617,Approx,0.163265306122449,0.02197802197802198,8
"(200,10)",1.0,0.382493391955178,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2641493660830622,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3488789206065423,Approx,0.125,0.0,6
"(200,10)",1.0,0.3748308618534249,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.27453818298985966,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.36411716080036366,Approx,0.19999999999999998,0.04347826086956522,10
"(200,10)",1.0,0.43990792400125917,Data Splitting,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.0,0.28035151234254735,Naive,0.08602150537634408,0.04395604395604395,4
"(200,10)",0.8,0.35233603583029094,Approx,0.18181818181818182,0.06521739130434782,10
"(200,10)",1.0,0.43288813993201597,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.27432368539620855,Naive,0.0851063829787234,0.04347826086956522,4
"(200,10)",1.0,0.3253256714503522,Approx,0.19999999999999998,0.0,10
"(200,10)",1.0,0.3337053024200253,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",1.0,0.22954148376514447,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3047793752487904,Approx,0.163265306122449,0.0,8
"(200,10)",1.0,0.3975712644157451,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.2785055543010549,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3413984719790282,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.4361590697253762,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2834541397661537,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.5,0.363569739248036,Approx,0.0851063829787234,0.02197802197802198,4
"(200,10)",1.0,0.34183837779619736,Data Splitting,0.04395604395604395,0.0,2
"(200,10)",0.0,0.23919236910068414,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.8,0.30885455342787227,Approx,0.20202020202020202,0.02222222222222222,10
"(200,10)",1.0,0.3862917471285695,Data Splitting,0.04395604395604395,0.0,2
"(200,10)",0.0,0.24806363447712704,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",1.0,0.35398112999504167,Approx,0.1443298969072165,0.02222222222222222,8
"(200,10)",1.0,0.3834366813919891,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.23934537606098083,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.31321214377121454,Approx,0.15384615384615385,0.0,6
"(400,20)",1.0,0.27046955861612854,Data Splitting,0.012987012987012988,0.006514657980456026,2
"(400,20)",1.0,0.17625593608059945,Naive,0.02580645161290323,0.012987012987012988,4
"(400,20)",0.75,0.23722584032719024,Approx,0.05095541401273886,0.006514657980456026,8
"(400,20)",1.0,0.24002979806867294,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.1774938871986263,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.22792893851733156,Approx,0.061224489795918366,0.005249343832020998,12
"(400,20)",1.0,0.2627101314342951,Data Splitting,0.020833333333333332,0.0,4
"(400,20)",0.0,0.1716740006623227,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.625,0.23267369049166509,Approx,0.08080808080808081,0.01566579634464752,16
"(400,20)",1.0,0.2621429278458232,Data Splitting,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.0,0.1794640989352529,Naive,0.023121387283236997,0.011627906976744186,4
"(400,20)",0.8,0.2410604400915493,Approx,0.056818181818181816,0.017391304347826087,10
"(400,20)",1.0,0.24973030750718078,Data Splitting,0.014492753623188404,0.0,2
"(400,20)",0.0,0.19049865623174397,Naive,0.014492753623188404,0.007272727272727273,2
"(400,20)",1.0,0.2269375596913181,Approx,0.06993006993006992,0.007272727272727273,12
"(400,20)",1.0,0.2569798518013459,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.1760061499699973,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",1.0,0.23926567119965717,Approx,0.05128205128205127,0.0,10
"(400,20)",1.0,0.21839062897000822,Data Splitting,0.011627906976744186,0.0,2
"(400,20)",0.0,0.183438896457652,Naive,0.045714285714285714,0.023121387283236997,8
"(400,20)",0.8571428571428571,0.2438395394650805,Approx,0.07865168539325842,0.023121387283236997,14
"(400,20)",1.0,0.25979228970418555,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.6666666666666666,0.18925590676143067,Naive,0.031088082901554404,0.01566579634464752,6
"(400,20)",0.8571428571428571,0.249434184950907,Approx,0.07106598984771574,0.010471204188481674,14
"(400,20)",1.0,0.24753570546120568,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.18186016186272957,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",0.9,0.25065880898630655,Approx,0.1,0.0,20
"(400,20)",0.0,0.26783687157102337,Data Splitting,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.0,0.18265458660106854,Naive,0.023121387283236997,0.011627906976744186,4
"(400,20)",0.9090909090909091,0.24998114096985746,Approx,0.10989010989010989,0.005830903790087463,22
"(400,20)",1.0,0.2500805706925477,Data Splitting,0.023121387283236997,0.0,4
"(400,20)",1.0,0.16985794695938294,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.875,0.24511720084862665,Approx,0.07821229050279328,0.0,16
"(400,20)",1.0,0.22167583521388237,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.5,0.16589008166575053,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",0.8888888888888888,0.23393201588096213,Approx,0.09045226130653267,0.01566579634464752,18
"(400,20)",1.0,0.28198431731605544,Data Splitting,0.02,0.0,2
"(400,20)",0.0,0.18184250782602893,Naive,0.05882352941176471,0.02985074626865672,6
"(400,20)",0.9090909090909091,0.22908233065445113,Approx,0.14545454545454548,0.01,22
"(400,20)",1.0,0.2675743988348503,Data Splitting,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.5,0.17739491307351676,Naive,0.023121387283236997,0.011627906976744186,4
"(400,20)",0.8571428571428571,0.2321973944382972,Approx,0.0449438202247191,0.011594202898550723,14
"(400,20)",1.0,0.2749592517781309,Data Splitting,0.010498687664041993,0.0,2
"(400,20)",0.0,0.18369770672466867,Naive,0.010498687664041993,0.005263157894736842,2
"(400,20)",0.8571428571428571,0.23340585333148908,Approx,0.07124681933842239,0.005263157894736842,14
"(400,20)",1.0,0.2581542669701866,Data Splitting,0.02318840579710145,0.011661807580174927,4
"(400,20)",0.0,0.17636958597670838,Naive,0.02318840579710145,0.011661807580174927,4
"(400,20)",0.8,0.2526263529138301,Approx,0.05698005698005699,0.017441860465116282,10
"(400,20)",1.0,0.2387119724134913,Data Splitting,0.012987012987012988,0.0,2
"(400,20)",0.0,0.16193238620736147,Naive,0.012987012987012988,0.006514657980456026,2
"(400,20)",1.0,0.2193742078691177,Approx,0.05095541401273886,0.006514657980456026,8
"(400,20)",1.0,0.2525280917573975,Data Splitting,0.011661807580174927,0.0,2
"(400,20)",0.0,0.15796882826126327,Naive,0.011661807580174927,0.005847953216374269,2
"(400,20)",0.8,0.24054280592530022,Approx,0.05128205128205128,0.011661807580174927,10
"(400,20)",1.0,0.2753349943594724,Data Splitting,0.0196078431372549,0.0,2
"(400,20)",0.0,0.176973971537502,Naive,0.0196078431372549,0.009852216748768473,2
"(400,20)",0.875,0.24632287798912333,Approx,0.07339449541284403,0.01951219512195122,16
"(400,20)",1.0,0.24764488234572338,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.17920136977741405,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.75,0.22301376270096565,Approx,0.041237113402061855,0.010471204188481674,8
"(400,20)",1.0,0.25451916061363716,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.5,0.19081296334544212,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",1.0,0.23365875667912506,Approx,0.061224489795918366,0.01566579634464752,12
"(400,20)",1.0,0.2339586588496917,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.16946411283578305,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.2292895606306553,Approx,0.061224489795918366,0.01566579634464752,12
"(400,20)",1.0,0.2519971164618854,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.180129892307222,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.8571428571428571,0.24066904964124206,Approx,0.07106598984771574,0.010471204188481674,14
"(400,20)",1.0,0.23025204315727277,Data Splitting,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.25,0.17621178577169821,Naive,0.045714285714285714,0.023121387283236997,8
"(400,20)",0.6153846153846154,0.2576312488433752,Approx,0.14130434782608695,0.02881844380403458,26
"(400,20)",1.0,0.23201022384745096,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.0,0.17691114865016838,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.23171504839726847,Approx,0.041237113402061855,0.005249343832020998,8
