"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Selection power,Cond. power,Power post inf,FDP
"(400,20)",0.5,0.0,0.27647248746967545,0.010471204188481674,0.010471204188481674,2,0.005263157894736842,1.0,0.005263157894736842,0.0
"(400,20)",1.0,0.8888888888888888,0.23149558419999472,0.09045226130653267,0.0,18,0.04736842105263158,0.0,0.0,0.0
"(400,20)",2.0,0.8611111111111112,0.19530808920984144,0.31858407079646023,0.08080808080808081,72,0.18947368421052632,0.2222222222222222,0.042105263157894736,0.0
"(400,20)",3.0,0.926829268292683,0.18650228060029372,0.6029411764705882,0.08080808080808081,164,0.43157894736842106,0.0975609756097561,0.042105263157894736,0.0
"(400,20)",4.0,0.9122807017543859,0.18270160823692852,0.7499999999999999,0.14634146341463414,228,0.6,0.13157894736842105,0.07894736842105263,0.0
