"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.4027420076886233,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3598094630760389,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",2.0,0.8571428571428571,0.2814275127872707,0.4745762711864407,0.0851063829787234,28,0.14285714285714285,0.0
"(200,10)",0.5,0.6666666666666666,0.4893471466829764,0.125,0.04347826086956522,6,0.3333333333333333,0.0
"(200,10)",1.0,0.6666666666666666,0.3338645762724151,0.125,0.0851063829787234,6,0.6666666666666666,0.0
"(200,10)",2.0,0.75,0.3027573806572011,0.3018867924528302,0.163265306122449,16,0.5,0.0
"(200,10)",0.5,1.0,0.43036678422299535,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,1.0,0.33096583296031384,0.2692307692307693,0.0,14,0.0,0.0
"(200,10)",2.0,1.0,0.2956378375409131,0.5245901639344263,0.04347826086956522,32,0.0625,0.0
"(400,20)",0.5,1.0,0.3219951043097378,0.061224489795918366,0.010471204188481674,12,0.16666666666666666,0.0
"(400,20)",1.0,0.8888888888888888,0.23422437638927077,0.09045226130653267,0.041237113402061855,18,0.4444444444444444,0.0
"(400,20)",2.0,0.9473684210526315,0.2048750053638147,0.33333333333333337,0.07106598984771574,76,0.18421052631578946,0.0
"(400,20)",0.5,1.0,0.34216157732463265,0.031088082901554404,0.010471204188481674,6,0.3333333333333333,0.0
"(400,20)",1.0,0.875,0.22163808473321656,0.08080808080808081,0.020833333333333332,16,0.25,0.0
"(400,20)",2.0,0.8372093023255814,0.1990080380366825,0.36909871244635195,0.11881188118811882,86,0.27906976744186046,0.0
"(400,20)",0.5,1.0,0.2845506967560025,0.021276595744680854,0.0,2,0.0,0.0
"(400,20)",1.0,0.8333333333333334,0.2170694550529085,0.10101010101010101,0.04210526315789474,12,0.4,0.0
"(400,20)",2.0,0.8604651162790697,0.19723428354897196,0.3676470588235294,0.0784313725490196,86,0.16,0.5555555555555556
"(1000,50)",0.5,0.6666666666666666,0.1907193587656637,0.027607361963190184,0.006201550387596899,18,0.2222222222222222,0.0
"(1000,50)",1.0,0.9230769230769231,0.15255860951961606,0.05680119581464872,0.04261796042617961,52,0.7368421052631579,0.0
"(1000,50)",2.0,0.896969696969697,0.1277493334406314,0.2079207920792079,0.05952380952380953,330,0.23809523809523808,0.31034482758620685
"(1000,50)",0.5,0.5555555555555556,0.20203358563861548,0.02960526315789474,0.0,18,0.0,0.0
"(1000,50)",1.0,0.782608695652174,0.14622688682678966,0.057877813504823156,0.0326797385620915,46,0.5555555555555556,0.23076923076923073
"(1000,50)",2.0,0.8837209302325582,0.12818980178005676,0.2490272373540856,0.06656101426307448,344,0.21875,0.34375
"(1000,50)",0.5,0.5833333333333334,0.20402400746348281,0.05206073752711497,0.0044444444444444444,24,0.08333333333333333,0.0
"(1000,50)",1.0,1.0,0.15358457277835086,0.07484407484407486,0.0350109409190372,64,0.4444444444444444,0.0
"(1000,50)",2.0,0.903954802259887,0.1279281910882114,0.24920127795527156,0.06315789473684211,354,0.19230769230769232,0.42307692307692313
