"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Selection power,Cond. power,Power post inf,FDP
"(400,20)",0.5,0.5,0.36969491732282234,0.020833333333333332,0.0,4,0.010526315789473684,0.0,0.0,0.0
"(400,20)",1.0,1.0,0.22717538619640223,0.05128205128205127,0.0,10,0.02631578947368421,0.0,0.0,0.0
"(400,20)",2.0,0.9743589743589743,0.19677307155628604,0.3406113537117904,0.05128205128205127,78,0.20526315789473684,0.1282051282051282,0.02631578947368421,0.0
"(400,20)",3.0,0.9390243902439024,0.18670346133321003,0.6029411764705882,0.07106598984771574,164,0.43157894736842106,0.08536585365853659,0.03684210526315789,0.0
"(400,20)",4.0,0.860655737704918,0.18130014387187388,0.782051282051282,0.20754716981132076,244,0.6421052631578947,0.18032786885245902,0.11578947368421053,0.0
