"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size
"(200,10)",1.0,0.39123355458835274,Data Splitting,0.125,0.02197802197802198,6
"(200,10)",0.0,0.2630639614034724,Naive,0.125,0.06451612903225806,6
"(200,10)",1.0,0.3353308067149964,Approx,0.163265306122449,0.02197802197802198,8
"(200,10)",1.0,0.3775111723691393,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.23151378800566866,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.75,0.3786604808417438,Approx,0.163265306122449,0.04347826086956522,8
"(200,10)",1.0,0.3567961579583879,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.2577150167226959,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.3103209721369107,Approx,0.05405405405405406,0.0,2
"(200,10)",1.0,0.3266730025739812,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2410763613154138,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6,0.3061036012985345,Approx,0.19999999999999998,0.04347826086956522,10
"(200,10)",1.0,0.3318955293905336,Data Splitting,0.05555555555555556,0.0,2
"(200,10)",1.0,0.2926433230042413,Naive,0.05555555555555556,0.028169014084507043,2
"(200,10)",1.0,0.3489192909248654,Approx,0.15384615384615383,0.028169014084507043,8
"(200,10)",1.0,0.3902051994642266,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.25705369430738484,Naive,0.0851063829787234,0.04347826086956522,4
"(200,10)",1.0,0.34001482225493435,Approx,0.0851063829787234,0.02197802197802198,4
"(200,10)",1.0,0.34494428252074744,Data Splitting,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.0,0.27044078085861384,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.6666666666666666,0.31788122370896016,Approx,0.12631578947368421,0.02222222222222222,6
"(200,10)",0.0,0.3911587980200806,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.2769179226389692,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6666666666666666,0.31806694977064176,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.3180424763244444,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.26543751857211845,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.75,0.3169407229736898,Approx,0.163265306122449,0.0,8
"(200,10)",1.0,0.41961739429844214,Data Splitting,0.044444444444444446,0.02247191011235955,2
"(200,10)",0.0,0.27608285214201556,Naive,0.044444444444444446,0.02247191011235955,2
"(200,10)",1.0,0.31552918162395993,Approx,0.08695652173913045,0.0,4
"(200,10)",1.0,0.31169687896609205,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.25755662388449113,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.33078438454076153,Approx,0.10256410256410256,0.0273972602739726,6
"(200,10)",1.0,0.351186530861183,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.23682766362105356,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.34167151373985843,Approx,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3576111932113596,Data Splitting,0.0851063829787234,0.0,4
"(200,10)",0.0,0.25937093056576793,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3254767146615354,Approx,0.163265306122449,0.02197802197802198,8
"(200,10)",1.0,0.35101889069505643,Data Splitting,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.0,0.251034649301779,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.6666666666666666,0.30538733165863324,Approx,0.12631578947368421,0.02222222222222222,6
"(200,10)",1.0,0.43179970885449553,Data Splitting,0.0689655172413793,0.0,2
"(200,10)",0.0,0.23183520899939236,Naive,0.0689655172413793,0.03508771929824561,2
"(200,10)",1.0,0.3543204163583691,Approx,0.1875,0.03508771929824561,8
"(200,10)",1.0,0.5176157037281572,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2561712329744122,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.340444029456071,Approx,0.0851063829787234,0.0,4
"(200,10)",1.0,0.3396041624175728,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.2451936339868008,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.3246417959002408,Approx,0.15384615384615385,0.0273972602739726,6
"(200,10)",1.0,0.4565031657785098,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.34110602824939396,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.3333333333333333,0.34249901777597086,Approx,0.125,0.04347826086956522,6
"(200,10)",1.0,0.31826060548888746,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.3198399541297596,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.5,0.34965010180649614,Approx,0.0851063829787234,0.02197802197802198,4
"(200,10)",0.0,0.36426852321797,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.26001763928375377,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.3333333333333333,0.3231267378439297,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.37219360623940373,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.25187822985764274,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.8,0.36702807665845893,Approx,0.19999999999999998,0.02197802197802198,10
"(200,10)",1.0,0.3042095392686515,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2378924244010943,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3205578528111977,Approx,0.125,0.0,6
"(200,10)",0.5,0.3505668484828741,Data Splitting,0.0851063829787234,0.0,4
"(200,10)",0.0,0.24591851769650547,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.31292573594587064,Approx,0.125,0.0,6
"(200,10)",1.0,0.3614757227508332,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.26157435372879845,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.30645471261104007,Approx,0.10526315789473684,0.0,4
"(200,10)",1.0,0.392429926594422,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",1.0,0.23657498400213672,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.2831167210912648,Approx,0.05405405405405406,0.0273972602739726,2
"(400,20)",1.0,0.2778422055151713,Data Splitting,0.010526315789473682,0.0,2
"(400,20)",0.0,0.20391149194256944,Naive,0.010526315789473682,0.005277044854881266,2
"(400,20)",1.0,0.24632910913162565,Approx,0.0909090909090909,0.010526315789473682,18
"(400,20)",1.0,0.2557650587481315,Data Splitting,0.03125,0.007905138339920948,4
"(400,20)",0.5,0.1822263357006726,Naive,0.03125,0.015748031496062992,4
"(400,20)",0.8333333333333334,0.2265346840507507,Approx,0.06060606060606061,0.015748031496062992,12
"(400,20)",1.0,0.2513064289191234,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.16784394474464193,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.2246717449884656,Approx,0.041237113402061855,0.005249343832020998,8
