p,coverage rate,avg length,method,F1 score,E size
10,1.0,0.36038865153209027,Data Splitting,0.4,6
10,0.25,0.27539877139300756,Naive,0.5,8
10,0.6666666666666666,0.33985661448419496,Approx,0.6666666666666666,12
10,1.0,0.3672169562083509,Data Splitting,0.15384615384615385,2
10,1.0,0.2436483610071018,Naive,0.5,8
10,1.0,0.3405982205666501,Approx,0.4210526315789474,14
10,1.0,0.3570472787018991,Data Splitting,0.16666666666666669,2
10,0.6666666666666666,0.26150396349145716,Naive,0.42857142857142855,6
10,0.6666666666666666,0.3557999386988977,Approx,0.7058823529411764,12
10,0.5,0.35996000772427783,Data Splitting,0.25,4
10,1.0,0.26153569234367763,Naive,0.35294117647058826,6
10,1.0,0.3450293549910061,Approx,0.6,12
10,1.0,0.3299771885694168,Data Splitting,0.2666666666666667,4
10,1.0,0.23278004655439244,Naive,0.2666666666666667,4
10,0.6666666666666666,0.35584267917749246,Approx,0.5263157894736842,12
10,1.0,0.35841501297660494,Data Splitting,0.14285714285714288,2
10,1.0,0.26853761901710665,Naive,0.14285714285714288,2
10,1.0,0.2921450159431191,Approx,0.125,6
10,1.0,0.3727699832262492,Data Splitting,0.13333333333333333,2
10,0.0,0.2638263190783505,Naive,0.25,4
10,1.0,0.30605906407861905,Approx,0.25,4
10,0.0,0.4452005672442889,Data Splitting,0.18181818181818182,2
10,0.0,0.29200048341557344,Naive,0.18181818181818182,2
10,1.0,0.38317077394264165,Approx,0.18181818181818182,2
10,1.0,0.38629353142485584,Data Splitting,0.125,2
10,0.6,0.26183547919215194,Naive,0.5,10
10,0.8,0.36109510716197624,Approx,0.64,20
10,0.0,0.33692349832989543,Data Splitting,0.14285714285714288,2
10,1.0,0.24594364632902888,Naive,0.14285714285714288,2
10,0.75,0.3131725062159791,Approx,0.23529411764705882,8
20,1.0,0.44183190494307073,Data Splitting,0.08333333333333333,2
20,0.0,0.26713525108133895,Naive,0.08333333333333333,2
20,0.7142857142857143,0.3589633537401444,Approx,0.26666666666666666,14
20,1.0,0.4004338419462164,Data Splitting,0.14285714285714288,4
20,0.75,0.2540648412198907,Naive,0.2666666666666667,8
20,0.9333333333333333,0.36673317523717397,Approx,0.4878048780487804,30
20,1.0,0.31978447691428347,Data Splitting,0.0909090909090909,2
20,1.0,0.23636882588698171,Naive,0.25,6
20,0.7272727272727273,0.35144305328148084,Approx,0.37499999999999994,22
20,1.0,0.4151945768872892,Data Splitting,0.0,2
20,0.6666666666666666,0.2624823277049116,Naive,0.12903225806451613,6
20,0.6666666666666666,0.3533696274872694,Approx,0.2702702702702703,18
20,1.0,0.31427181882401023,Data Splitting,0.0,2
20,0.0,0.2823195706778959,Naive,0.07999999999999999,2
20,1.0,0.32744741657558585,Approx,0.18181818181818182,18
20,0.0,0.41737481505541624,Data Splitting,0.0,2
20,1.0,0.22893876716245953,Naive,0.08333333333333333,2
20,0.75,0.356742476249268,Approx,0.3870967741935483,16
20,1.0,0.3671754917519985,Data Splitting,0.07142857142857142,2
20,0.5,0.25831059419203123,Naive,0.19354838709677416,8
20,0.7272727272727273,0.3606370778550745,Approx,0.3157894736842105,22
20,1.0,0.4017142157285559,Data Splitting,0.13793103448275862,4
20,0.3333333333333333,0.25117459208717957,Naive,0.19999999999999998,6
20,0.7142857142857143,0.3360748661880258,Approx,0.23529411764705882,14
20,1.0,0.31743282704614545,Data Splitting,0.0,2
20,1.0,0.24908034844675764,Naive,0.16,4
20,0.7692307692307693,0.3449176265973153,Approx,0.2222222222222222,26
20,0.0,0.32667141300054164,Data Splitting,0.07407407407407407,2
20,1.0,0.2781607886892422,Naive,0.07407407407407407,2
20,0.8,0.3205619967468002,Approx,0.1935483870967742,10
50,1.0,0.43168439701978967,Data Splitting,0.041666666666666664,4
50,0.0,0.26934030004418774,Naive,0.0,2
50,1.0,0.36736837593224253,Approx,0.2608695652173913,46
50,1.0,0.4758169281984362,Data Splitting,0.0425531914893617,4
50,0.6666666666666666,0.2737655101734319,Naive,0.08333333333333334,6
50,0.9285714285714286,0.37413358377337574,Approx,0.1694915254237288,28
50,1.0,0.5780189012655678,Data Splitting,0.04347826086956522,2
50,0.6666666666666666,0.3045445740687285,Naive,0.125,6
50,1.0,0.38046700096301356,Approx,0.2545454545454545,20
50,1.0,0.503827908000241,Data Splitting,0.04878048780487806,2
50,1.0,0.2875032906906484,Naive,0.04878048780487806,2
50,1.0,0.34654064976720317,Approx,0.20689655172413793,36
50,1.0,0.49918599061485397,Data Splitting,0.046511627906976744,2
50,0.0,0.33313354823656904,Naive,0.0909090909090909,4
50,0.7777777777777778,0.37661113238701127,Approx,0.1568627450980392,18
50,1.0,0.44688505721871297,Data Splitting,0.08695652173913045,4
50,1.0,0.2869084279926515,Naive,0.08695652173913045,4
50,0.8666666666666667,0.35504698133622414,Approx,0.16949152542372878,30
50,1.0,0.5622995673666018,Data Splitting,0.05,2
50,0.5,0.31187882070154227,Naive,0.09756097560975609,4
50,0.8947368421052632,0.38829833669839586,Approx,0.13793103448275865,38
50,1.0,0.4150968120422732,Data Splitting,0.044444444444444446,2
50,0.5,0.2786806997532203,Naive,0.125,8
50,0.5,0.3506838039931056,Approx,0.1923076923076923,16
50,1.0,0.5551071207629944,Data Splitting,0.04081632653061225,2
50,1.0,0.2956797061483375,Naive,0.07999999999999999,4
50,0.9411764705882353,0.36138270184262966,Approx,0.24615384615384617,34
50,1.0,0.44331133085685975,Data Splitting,0.08888888888888888,4
50,0.75,0.27527192639869635,Naive,0.1702127659574468,8
50,0.9411764705882353,0.3593672361028325,Approx,0.2,34
