"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",1.0,0.3804319076471358,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2695628125069015,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3312398302184031,Approx,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3480669721814474,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",1.0,0.24533196236971194,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.30718356520795875,Approx,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.3407184651114413,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2469020005664637,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.311301855624608,Approx,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.31835657680366786,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.2732362515397853,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.3182305292056917,Approx,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.4327632451116225,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2683791197215344,Naive,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",0.5,0.3235319592864906,Approx,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",1.0,0.38775130693002213,Data Splitting,0.05479452054794521,0.0,2,0.5,0.0
"(200,10)",1.0,0.26621937064516493,Naive,0.05479452054794521,0.02777777777777778,2,0.0,0.0
"(200,10)",1.0,0.35242037058130726,Approx,0.05479452054794521,0.0,2,0.0,0.0
"(200,10)",1.0,0.35562936293952924,Data Splitting,0.05405405405405406,0.0,2,0.5,0.0
"(200,10)",1.0,0.2574982039853515,Naive,0.10526315789473684,0.05405405405405406,4,0.0,0.0
"(200,10)",1.0,0.3348235862493463,Approx,0.05405405405405406,0.0,2,0.0,0.0
"(200,10)",1.0,0.3848965601537515,Data Splitting,0.05405405405405406,0.0,2,0.5,0.0
"(200,10)",0.0,0.28940824621231276,Naive,0.05405405405405406,0.0273972602739726,2,0.0,0.0
