"n,p",randomizer scale,coverage rate,avg length,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",0.5,1.0,0.41498333970758716,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,1.0,0.3385931966373761,0.23529411764705882,0.0,12,0.0,0.0
"(200,10)",2.0,0.8333333333333334,0.2791541089361643,0.4210526315789474,0.04347826086956522,24,0.08333333333333333,0.0
"(400,20)",0.5,1.0,0.3192065837011521,0.010498687664041993,0.0,2,0.0,0.0
"(400,20)",1.0,1.0,0.2583829537204808,0.10025062656641603,0.010498687664041993,20,0.1,0.0
"(400,20)",2.0,0.8717948717948718,0.20217254336623333,0.34135667396061264,0.036269430051813475,78,0.08974358974358974,0.0
"(1000,50)",0.5,0.6363636363636364,0.21916920534152398,0.10152284263959391,0.010666666666666668,22,0.1,0.33333333333333337
"(1000,50)",1.0,0.9090909090909091,0.1533007602038982,0.11538461538461539,0.04199475065616798,44,0.3333333333333333,0.11111111111111116
"(1000,50)",2.0,0.8903225806451613,0.1292049453554503,0.17008797653958946,0.055415617128463476,310,0.1896551724137931,0.56
